journal_name,pissn,eissn,impact_factor,best_quartile,all_quartiles
Historia Caribe,0122-8803,2322-6889,0.1,Q3,Q3
Historia Ciencias Saude-Manguinhos,0104-5970,1678-4758,0.5,Q3,Q3
Historia Constitucional,1576-4729,1576-4729,0.6,Q1,Q1
Historia Contemporanea,1130-2402,2340-0277,0.1,Q3,Q3
Historia Critica,0121-1617,1900-6152,0.4,Q2,Q2
Historia da Historiografia,1983-9928,1983-9928,0.2,Q3,Q3
Historia e Cultura,2238-6270,2238-6270,<0.1,Q4,Q4
Historia Historias,2318-1729,2318-1729,<0.1,Q4,Q4
Historia Instituciones Documentos,0210-7716,2253-8291,0.2,Q3,Q3
HISTORIA MATHEMATICA,0315-0860,1090-249X,0.5,Q3,Q3|Q4
HISTORIA MEXICANA,0185-0172,2448-6531,0.4,Q2,Q2
Historia Philosophica-An International Journal,1724-6121,1824-095X,<0.1,Q4,Q4
HISTORIA RELIGIONUM An International Journal,2035-5572,2035-6455,0.4,Q2,Q2
Historia-Santiago,0717-7194,0717-7194,0.2,Q3,Q3
Historia Social,0214-2570,0214-2570,0.2,Q3,Q3
Historia Unisinos,1519-3861,2236-1782,0.1,Q3,Q3
Historia y Comunicacion Social,1137-0734,1988-3056,0.4,Q2,Q2
Historia y Espacio,0120-4661,2357-6448,<0.1,Q4,Q4
Historia y Memoria,2027-5137,2322-777X,0.4,Q2,Q2
Historia y Memoria de la Educacion,2444-0043,2444-0043,0.4,Q4,Q4
Historia y Politica,1575-0361,1989-063X,0.4,Q2,Q2|Q4
Historia y Sociedad,0121-8417,2357-4720,0.1,Q3,Q3
HISTORIA-ZEITSCHRIFT FUR ALTE GESCHICHTE,0018-2311,0018-2311,0.4,Q2,Q2
HISTORIAN,0018-2370,1540-6563,0.2,Q3,Q3
Historic Environment-Policy & Practice,1756-7505,1756-7513,1.4,,
HISTORICAL ARCHAEOLOGY,0440-9213,2328-1103,0.7,,
HISTORICAL BIOLOGY,0891-2963,1029-2381,1.4,Q3,Q3
Historical Encounters-A Journal of Historical Consciousness Historical Cultures and History Education,2203-7543,2203-7543,0.4,Q2,Q2
HISTORICAL JOURNAL,0018-246X,1469-5103,1.0,Q1,Q1
HISTORICAL JOURNAL OF FILM RADIO AND TELEVISION,0143-9685,1465-3451,0.3,,
Historical Materialism-Research in Critical Marxist Theory,1465-4466,1569-206X,1.9,Q2,Q2
HISTORICAL METHODS,0161-5440,1940-1906,1.4,Q1,Q1
Historical Records of Australian Science,0727-3061,1448-5508,0.2,Q4,Q4
HISTORICAL REFLECTIONS-REFLEXIONS HISTORIQUES,0315-7997,1939-2419,0.2,Q3,Q3
HISTORICAL RESEARCH,0950-3471,1468-2281,0.4,Q2,Q2
Historical Review-La Revue Historique,1790-3572,1791-7603,0.2,Q3,Q3
Historical Social Research-Historische Sozialforschung,0172-6404,,0.5,Q1,Q1|Q3
Historical Studies in Education-Canada,0843-5057,1911-9674,0.6,Q4,Q4
Historical Studies in the Natural Sciences,1939-1811,1939-182X,0.9,Q2,Q2
Historicka Sociologie,1804-0616,2336-3525,0.3,Q4,Q4
HISTORICKY CASOPIS,0018-2575,0018-2575,0.1,Q3,Q3
Histories,,2409-9252,0.4,Q2,Q2|Q3
Historiografias-Revista de Historia y Teoria,2174-4289,2174-4289,0.4,Q2,Q2
HISTORIOGRAPHIA LINGUISTICA,0302-5160,1569-9781,0.1,Q4,Q4
Historische Zeitschrift,0018-2613,2196-680X,0.3,Q2,Q2
HISTORISCHES JAHRBUCH,0018-2621,,0.1,Q3,Q3
Historisk Tidskrift,0345-469X,0345-469X,0.2,Q3,Q3
HISTORISK TIDSSKRIFT,0018-263X,1504-2944,0.2,Q3,Q3
HISTORY,,1468-229X,0.5,Q1,Q1
History and Anthropology,0275-7206,1477-2612,0.6,Q1,Q1|Q3
HISTORY AND PHILOSOPHY OF LOGIC,0144-5340,1464-5149,0.5,Q3,Q3
HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,0391-9714,1742-6316,1.0,Q2,Q2
History and Sociology of South Asia,2230-8075,2249-5312,0.3,Q4,Q4
History and Technology,0734-1512,1477-2620,1.4,Q1,Q1
HISTORY AND THEORY,0018-2656,1468-2303,0.9,Q1,Q1
History Australia,1449-0854,1833-4881,0.6,Q1,Q1
History Compass,1478-0542,1478-0542,0.9,Q1,Q1
History in Africa,0361-5413,1558-2744,0.8,Q1,Q1|Q2
History & Memory,0935-560X,1527-1994,0.5,Q1,Q1
History of Economic Thought and Policy,2240-9971,2280-188X,0.1,Q4,Q4
History of Economics Review,1037-0196,1838-6318,0.4,Q4,Q4
History of Education,0046-760X,1464-5130,0.8,Q3,Q3
History of Education & Childrens Literature,1971-1093,1971-1131,0.2,Q3,Q3
HISTORY OF EDUCATION QUARTERLY,0018-2680,1748-5959,0.8,Q3,Q3
History of Education Review,0819-8691,0819-8691,1.1,Q2,Q2
HISTORY OF EUROPEAN IDEAS,0191-6599,1873-541X,0.4,,
History of Geo- and Space Sciences,2190-5010,2190-5029,0.6,Q3,Q3|Q4
History of Philosophy & Logical Analysis,2666-4283,2666-4275,0.2,,
HISTORY OF PHOTOGRAPHY,0308-7298,2150-7295,0.4,,
HISTORY OF POLITICAL ECONOMY,0018-2702,1527-1919,0.6,Q3,Q3|Q4
HISTORY OF POLITICAL THOUGHT,0143-781X,2051-2988,0.2,Q3,Q3
HISTORY OF PSYCHIATRY,0957-154X,1740-2360,0.9,Q2,Q2|Q4
History of Psychology,1093-4510,1939-0610,0.9,Q2,Q2|Q3
HISTORY OF RELIGIONS,0018-2710,1545-6935,0.5,Q1,Q1
HISTORY OF SCIENCE,0073-2753,1753-8564,0.8,Q2,Q2
History of science and technology,2415-7422,2415-7430,0.9,Q2,Q2
History of the Family,1081-602X,1873-5398,1.0,Q2,Q2|Q3
HISTORY OF THE HUMAN SCIENCES,0952-6951,1461-720X,0.6,Q3,Q3
History Studies,1309-4688,1309-4173,<0.1,Q4,Q4
HISTORY TODAY,0018-2753,,<0.1,Q4,Q4
HISTORY WORKSHOP JOURNAL,1363-3554,1477-4569,1.1,Q1,Q1
Histria,1848-1183,1849-5699,<0.1,Q4,Q4
Hitit Theology Journal,,2757-6949,0.1,,
HITOTSUBASHI JOURNAL OF ECONOMICS,0018-280X,2436-097X,0.4,Q4,Q4
HIV AIDS-Research and Palliative Care,1179-1373,1179-1373,2.4,Q3,Q3
HIV & AIDS Review,1730-1270,1732-2707,0.6,Q4,Q4
HIV MEDICINE,1464-2662,1468-1293,3.2,Q2,Q2
HIV Research & Clinical Practice,2578-7489,2578-7470,2.1,Q3,Q3
HLA,2059-2302,2059-2310,5.0,Q1,Q1|Q2
HLRP-Health Literacy Research and Practice,2475-6024,2474-8307,1.6,Q3,Q3
HNO,0017-6192,1433-0458,0.9,Q4,Q4
Hobbes Studies,0921-5891,1875-0257,0.5,,
Hokkaido Mathematical Journal,0385-4035,,0.4,Q4,Q4
Holistic Nursing Practice,0887-9311,1550-5138,2.3,Q2,Q2
HOLOCAUST AND GENOCIDE STUDIES,8756-6583,1476-7937,0.4,Q2,Q2
Holocaust Studies,1750-4902,2048-4887,0.5,Q1,Q1
Holocaust-Studii si Cercetari,2065-6602,2065-6602,0.1,Q3,Q3
HOLOCENE,0959-6836,1477-0911,1.6,Q3,Q3
Holos,1518-1634,1807-1600,0.2,Q4,Q4
HOLZFORSCHUNG,0018-3830,1437-434X,1.9,Q2,Q2
Home Cultures,1740-6315,1751-7427,0.7,,
Home Health Care Management and Practice,1084-8223,1552-6739,1.3,Q3,Q3
HOME HEALTH CARE SERVICES QUARTERLY,0162-1424,1545-0856,1.4,Q4,Q4
Homeopathy,1475-4916,1476-4245,1.1,Q4,Q4
Homicide Studies,1088-7679,1552-6720,1.9,Q2,Q2
HOMO-JOURNAL OF COMPARATIVE HUMAN BIOLOGY,0018-442X,1618-1301,1.1,Q2,Q2
Homo Oeconomicus-Journal of Behavioral and Institutional Economics,0943-0180,2366-6161,<0.1,Q4,Q4
Homology Homotopy and Applications,1532-0073,1532-0081,0.5,Q3,Q3|Q4
Honam Mathematical Journal,1225-293X,2288-6176,0.3,Q4,Q4
Hong Kong Journal of Dermatology & Venereology,1814-7453,1814-7453,<0.1,Q4,Q4
Hong Kong Journal of Emergency Medicine,1024-9079,2309-5407,0.6,Q4,Q4
Hong Kong Journal of Occupational Therapy,1569-1861,1876-4398,1.6,Q3,Q3
Hong Kong Journal of Paediatrics,1013-9923,1013-9923,0.2,Q4,Q4
Hong Kong Journal of Radiology,2223-6619,2307-4620,0.3,Q4,Q4
Hong Kong Law Journal,0378-0600,,0.2,Q4,Q4
HONG KONG MEDICAL JOURNAL,1024-2708,1024-2708,3.0,Q1,Q1
Hong Kong Physiotherapy Journal,1013-7025,1876-441X,1.5,Q3,Q3
HOPOS-The Journal of the International Society for the History of Philosophy of Science,2152-5188,2156-6240,0.5,Q3,Q3
Horizon-Fenomenologicheskie Issledovaniya,2226-5260,2311-6986,0.1,,
HORIZONS,0360-9669,2050-8557,0.7,,
Horizons in Biblical Theology,0195-9085,1871-2207,0.3,,
Hormigon y Acero,0439-5689,2605-1729,0.6,Q4,Q4
HORMONE AND METABOLIC RESEARCH,0018-5043,1439-4286,2.3,Q3,Q3
Hormone Molecular Biology and Clinical Investigation,1868-1883,1868-1891,1.9,Q4,Q4
Hormone Research in Paediatrics,1663-2818,1663-2826,3.8,Q1,Q1|Q2
Hormones and Behavior,0018-506X,1095-6867,2.6,Q2,Q2|Q3
Hormones-International Journal of Endocrinology and Metabolism,1109-3099,2520-8721,2.4,Q3,Q3
Horror Studies,2040-3275,2040-3283,0.1,,
Horticultura Brasileira,0102-0536,1806-9991,0.9,Q4,Q4
Horticulturae,,2311-7524,3.4,Q1,Q1
Horticultural Plant Journal,2095-9885,2468-0141,7.1,Q1,Q1
HORTICULTURAL SCIENCE,0862-867X,1805-9333,1.2,Q4,Q4
Horticultural Science & Technology,1226-8763,2465-8588,1.3,Q3,Q3
Horticulture Advances,,2948-1104,6.3,Q1,Q1
Horticulture Environment and Biotechnology,2211-3452,2211-3460,2.8,Q2,Q2
Horticulture Journal,2189-0102,2189-0110,1.4,Q3,Q3
Horticulture Research,2662-6810,2052-7276,9.5,Q1,Q1
HORTSCIENCE,0018-5345,2327-9834,1.9,Q3,Q3
HORTTECHNOLOGY,1063-0198,1943-7714,1.4,Q3,Q3
Hospital Pediatrics,2154-1663,2154-1671,2.2,Q2,Q2
HOSPITAL PHARMACY,0018-5787,1945-1253,0.9,Q4,Q4
Hospitality & Society,2042-7913,2042-7921,0.7,Q4,Q4
Housing Care and Support,1460-8790,2042-8375,0.5,Q4,Q4
HOUSING POLICY DEBATE,1051-1482,2152-050X,2.2,Q2,Q2
HOUSING STUDIES,0267-3037,1466-1810,2.7,Q2,Q2|Q3
Housing Theory & Society,1403-6096,1651-2278,2.7,Q2,Q2|Q3
HOUSTON JOURNAL OF MATHEMATICS,0362-1588,,0.3,Q4,Q4
How-A Colombian Journal for Teachers of English,0120-5927,0120-5927,0.4,Q4,Q4
Howard Journal of Communications,1064-6175,1096-4649,0.9,Q3,Q3
HPB,1365-182X,1477-2574,3.3,Q1,Q1|Q2
Hrvatske Vode,1330-1144,1330-1144,<0.1,Q4,Q4
Hrvatski Dijalektoloski Zbornik,0439-691X,2459-4849,0.1,,
Hrvatski Filmski Ljetopis,1330-7665,,<0.1,,
Hrvatski Geografski Glasnik-Croatian Geographical Bulletin,1331-5854,1848-6401,0.5,Q4,Q4
HSE-Social and Education History,2014-3567,2014-3567,0.8,Q3,Q3
HSS Journal,1556-3316,1556-3324,1.4,Q3,Q3
HTM-Journal of Heat Treatment and Materials,1867-2493,2194-1831,0.5,Q4,Q4
HUDEBNI VEDA,0018-7003,2694-6998,0.2,,
HUDSON REVIEW,0018-702X,2325-5935,<0.1,,
Human Affairs-Postdisciplinary Humanities & Social Sciences Quarterly,1210-3055,1337-401X,0.7,Q3,Q3
HUMAN AND ECOLOGICAL RISK ASSESSMENT,1080-7039,1549-7860,2.5,Q3,Q3
Human-Animal Interactions,,2957-9538,2.0,Q2,Q2
Human Arenas,2522-5790,2522-5804,0.7,Q4,Q4
Human Behavior and Emerging Technologies,,2578-1863,4.9,Q1,Q1
HUMAN BRAIN MAPPING,1065-9471,1097-0193,4.0,Q1,Q1|Q2
Human Cell,0914-7470,1749-0774,2.8,Q3,Q3
Human-centric Computing and Information Sciences,,2192-1962,2.9,Q3,Q3
HUMAN COMMUNICATION RESEARCH,0360-3989,1468-2958,3.4,Q1,Q1
HUMAN-COMPUTER INTERACTION,0737-0024,1532-7051,5.8,Q1,Q1
HUMAN DEVELOPMENT,0018-716X,1423-0054,2.8,Q2,Q2
HUMAN DIMENSIONS OF WILDLIFE,1087-1209,1533-158X,1.5,Q3,Q3|Q4
HUMAN ECOLOGY,0300-7839,1572-9915,2.0,Q1,Q1|Q2|Q3
Human Ecology Review,1074-4827,2204-0919,0.4,Q4,Q4
HUMAN & EXPERIMENTAL TOXICOLOGY,0960-3271,1477-0903,3.5,Q2,Q2
HUMAN FACTORS,0018-7208,1547-8181,3.6,Q1,Q1|Q2
Human Factors and Ergonomics in Manufacturing & Service Industries,1090-8471,1520-6564,2.4,Q3,Q3|Q4
Human Factors in Healthcare,,2772-5014,1.6,Q3,Q3|Q4
Human Fertility,1464-7273,1742-8149,2.0,Q3,Q3
Human Gene,2773-0441,2773-0441,0.9,Q4,Q4
HUMAN GENE THERAPY,1043-0342,1557-7422,4.6,Q1,Q1|Q2
HUMAN GENETICS,0340-6717,1432-1203,3.4,Q2,Q2
Human Genetics and Genomics Advances,2666-2477,2666-2477,3.1,Q2,Q2
Human Genome Variation,,2054-345X,1.3,Q4,Q4
Human Genomics,1473-9542,1479-7364,4.1,Q2,Q2
HUMAN HEREDITY,0001-5652,1423-0062,1.1,Q4,Q4
HUMAN IMMUNOLOGY,0198-8859,1879-1166,2.1,Q4,Q4
HUMAN MOLECULAR GENETICS,0964-6906,1460-2083,3.1,Q2,Q2|Q3
Human Movement,1732-3991,1899-1955,1.2,Q4,Q4
HUMAN MOVEMENT SCIENCE,0167-9457,1872-7646,1.9,Q3,Q3|Q4
HUMAN MUTATION,1059-7794,1098-1004,1.8,Q4,Q4
HUMAN NATURE-AN INTERDISCIPLINARY BIOSOCIAL PERSPECTIVE,1045-6767,1936-4776,2.0,Q1,Q1|Q2
Human Nutrition & Metabolism,2666-1497,2666-1497,2.7,Q3,Q3
HUMAN ORGANIZATION,0018-7259,1938-3525,0.8,Q3,Q3
HUMAN PATHOLOGY,0046-8177,1532-8392,3.0,Q2,Q2
Human Pathology Reports,,2772-736X,0.5,Q4,Q4
HUMAN PERFORMANCE,0895-9285,1532-7043,2.1,Q3,Q3
HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL,0885-6222,1099-1077,2.0,Q3,Q3
HUMAN RELATIONS,0018-7267,1741-282X,4.6,Q1,Q1|Q2
HUMAN REPRODUCTION,0268-1161,1460-2350,6.8,Q1,Q1
Human Reproduction Open,,2399-3529,8.6,Q1,Q1
HUMAN REPRODUCTION UPDATE,1355-4786,1460-2369,20.1,Q1,Q1
HUMAN RESOURCE DEVELOPMENT INTERNATIONAL,1367-8868,1469-8374,3.3,Q2,Q2
Human Resource Development Quarterly,1044-8004,1532-1096,4.0,Q1,Q1|Q2
Human Resource Development Review,1534-4843,1552-6712,4.5,Q2,Q2
HUMAN RESOURCE MANAGEMENT,0090-4848,1099-050X,8.5,Q1,Q1
Human Resource Management Journal,0954-5395,1748-8583,8.0,Q1,Q1
HUMAN RESOURCE MANAGEMENT REVIEW,1053-4822,1873-7889,7.4,Q1,Q1
Human Resources for Health,,1478-4491,5.4,Q1,Q1
Human Rights Law Review,1461-7781,1744-1021,1.5,Q1,Q1|Q2
HUMAN RIGHTS QUARTERLY,0275-0392,1085-794X,1.0,Q3,Q3
Human Rights Review,1524-8879,1874-6306,1.9,Q1,Q1
Human Service Organizations Management Leadership & Governance,2330-3131,2330-314X,1.4,Q2,Q2|Q3
Human Sport Medicine,2500-0209,2500-0195,0.2,Q4,Q4
HUMAN STUDIES,0163-8548,1572-851X,1.2,Q3,Q3
HUMAN SYSTEMS MANAGEMENT,0167-2533,1875-8703,1.6,Q3,Q3
Human Technology,,1795-6889,3.2,Q1,Q1|Q2
Human Vaccines & Immunotherapeutics,2164-5515,2164-554X,4.2,Q2,Q2
Humana Mente-Journal of Philosophical Studies,1972-1293,1972-1293,0.2,,
Humanidades & Inovacao,2358-8322,2358-8322,<0.1,,
Humanitas-Portugal,0871-1569,2183-1718,0.1,,
Humanities-Basel,,2076-0787,0.3,,
Humanities & Social Sciences Communications,,2662-9992,4.8,Q1,Q1
Humanity-An International Journal of Human Rights Humanitarianism and Development,2151-4364,2151-4372,0.6,Q3,Q3
Hume Studies,0319-7336,1947-9921,0.7,,
HUMOR-INTERNATIONAL JOURNAL OF HUMOR RESEARCH,0933-1719,1613-3722,1.2,Q3,Q3
Hungarian Cultural Studies,2471-965X,2471-965X,0.3,Q4,Q4
Hungarian Geographical Bulletin,2064-5031,2064-5147,1.8,Q2,Q2|Q3
Hungarian Journal of Industry and Chemistry,0133-0276,0133-0276,0.8,Q4,Q4
HUNTINGTON LIBRARY QUARTERLY,0018-7895,1544-399X,<0.1,,
HUSSERL STUDIES,0167-9848,1572-8501,1.3,,
Hybris-Revista de Filosofia,,0718-8382,<0.1,,
HYDROBIOLOGIA,0018-8158,1573-5117,2.4,Q2,Q2
Hydrogen,,2673-4141,5.6,Q2,Q2
HYDROGEOLOGY JOURNAL,1431-2174,1435-0157,2.8,Q2,Q2
HYDROLOGICAL PROCESSES,0885-6087,1099-1085,3.1,Q2,Q2
Hydrological Research Letters,1882-3416,1882-3416,1.0,Q4,Q4
Hydrological Sciences Journal,0262-6667,2150-3435,2.9,Q2,Q2
Hydrologie und Wasserbewirtschaftung,1439-1783,,0.5,Q4,Q4
Hydrology,,2306-5338,3.1,Q2,Q2
HYDROLOGY AND EARTH SYSTEM SCIENCES,1027-5606,1607-7938,7.0,Q1,Q1
Hydrology Research,1998-9563,2224-7955,3.7,Q2,Q2
HYDROMETALLURGY,0304-386X,1879-1158,6.3,Q1,Q1
Hygiene,,2673-947X,2.3,Q2,Q2|Q3
Hygiene and Environmental Health Advances,,2773-0492,4.4,Q1,Q1|Q2
Hypatia-A Journal of Feminist Philosophy,0887-5367,1527-2001,1.5,Q2,Q2
HYPERTENSION,0194-911X,1524-4563,9.8,Q1,Q1
HYPERTENSION IN PREGNANCY,1064-1955,1525-6065,3.4,Q1,Q1|Q2
HYPERTENSION RESEARCH,0916-9636,1348-4214,5.0,Q1,Q1
Hypertension Research in Pregnancy,2187-5987,2187-9931,0.1,Q4,Q4
Hypnos,1413-9138,2177-5346,<0.1,,
HYSTRIX-Italian Journal of Mammalogy,0394-1914,1825-5272,1.0,Q3,Q3
i-com-Zeitschrift fur interaktive und kooperative Medien,1618-162X,2196-6826,1.7,Q4,Q4
I-Perception,2041-6695,2041-6695,1.1,Q4,Q4
I Tatti Studies,0393-5949,2037-6731,0.1,,
i2 Investigacion e Innovacion en Arquitectura y Territorio,,2341-0515,0.9,,
IACR Transactions on Symmetric Cryptology,,2519-173X,2.7,Q2,Q2
IADIS-International Journal on Computer Science and Information Systems,1646-3692,1646-3692,0.5,Q4,Q4
IAFOR Journal of Education,,2187-0594,1.1,Q3,Q3
IARTEM e-Journal,1837-2104,1837-2104,0.3,Q4,Q4
Iatreia,0121-0793,2011-7965,0.1,Q4,Q4
IATSS Research,0386-1112,2210-4240,3.4,Q2,Q2
IAWA JOURNAL,0928-1541,2294-1932,2.9,Q2,Q2
Iberian Journal of the History of Economic Thought,2386-5768,2386-5768,0.2,Q3,Q3|Q4
Iberica,1139-7241,2340-2784,1.4,Q2,Q2
Iberoamerican Journal of Development Studies,2254-2035,2254-2035,0.4,Q4,Q4
Iberoamericana,1577-3388,2255-520X,0.2,,
IBEROROMANIA,0019-0993,1865-9039,<0.1,,
Ibersid-Revista de Sistemas de Informacion y Documentacion,1888-0967,2174-081X,0.3,Q4,Q4
IBIS,0019-1019,1474-919X,2.9,Q1,Q1
Ibnosina Journal of Medicine and Biomedical Sciences,1947-489X,1947-489X,0.9,Q3,Q3
IBRO Neuroscience Reports,2667-2421,2667-2421,2.9,Q3,Q3
Ibsen Studies,1502-1866,1741-8720,0.3,,
IC-Revista Cientifica de Informacion y Comunicacion,1696-2508,2173-1071,0.1,Q4,Q4
ICARUS,0019-1035,1090-2643,3.2,Q2,Q2
Icelandic Agricultural Sciences,1670-567X,,0.5,Q4,Q4
Icelandic Review of Politics & Administration,1670-6803,1670-679X,0.4,Q4,Q4
ICES JOURNAL OF MARINE SCIENCE,1054-3139,1095-9289,3.9,Q1,Q1
ICGA JOURNAL,1389-6911,2468-2438,1.1,Q4,Q4
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,1042-0940,1563-5236,2.0,Q1,Q1
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,0936-9902,,0.6,Q4,Q4
ICHTHYOLOGICAL RESEARCH,1341-8998,1616-3915,0.9,Q3,Q3|Q4
Ichthyology and Herpetology,2766-1512,2766-1520,0.7,Q4,Q4
ICL Journal-Vienna Journal on International Constitutional Law,2306-3734,1995-5855,0.7,Q2,Q2
ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,1474-2640,1474-2659,1.6,Q1,Q1
ICONARP International Journal of Architecture and Planning,2147-9380,2147-9380,0.5,,
Iconographica,1720-1764,1720-1764,<0.1,,
Iconos,1390-1249,1390-8065,0.3,Q4,Q4
ICSID Review-Foreign Investment Law Journal,0258-3690,2049-1999,1.5,Q1,Q1
ICT Express,2405-9595,2405-9595,4.6,Q2,Q2
IDA-International Design and Art Journal,,2687-5373,0.2,,
IDCases,2214-2509,2214-2509,0.9,Q4,Q4
IDEALISTIC STUDIES,0046-8541,2153-8239,0.2,,
Ideas in Ecology and Evolution,1918-3178,1918-3178,<0.1,Q4,Q4
Ideas y Valores,0120-0062,2011-3668,0.1,,
Ideggyogyaszati Szemle-Clinical Neuroscience,0019-1442,2498-6208,0.6,Q4,Q4
Identidade,2178-437X,2178-437X,<0.1,Q4,Q4
IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,1070-289X,1547-3384,1.3,Q1,Q1|Q2
Identity-An International Journal of Theory and Research,1528-3488,1532-706X,2.5,Q2,Q2
Ido Movement for Culture-Journal of Martial Arts Anthropology,2084-3763,2082-7571,0.9,Q4,Q4
Idojaras,0324-6329,0324-6329,0.9,Q4,Q4
IDP-Internet Law and Politics,1699-8154,1699-8154,0.6,Q3,Q3
IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES,0265-5012,1759-5436,0.5,Q3,Q3|Q4
IEEE Access,2169-3536,2169-3536,4.2,Q2,Q2
IEEE-ACM Transactions on Audio Speech and Language Processing,2329-9290,,5.2,Q1,Q1
IEEE-ACM Transactions on Computational Biology and Bioinformatics,1545-5963,1557-9964,4.1,Q1,Q1|Q2
IEEE-ACM TRANSACTIONS ON NETWORKING,1063-6692,1558-2566,5.3,Q1,Q1|Q2
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,0885-8985,1557-959X,5.1,Q1,Q1
IEEE ANNALS OF THE HISTORY OF COMPUTING,1058-6180,1934-1547,0.9,Q2,Q2|Q4
IEEE ANTENNAS AND PROPAGATION MAGAZINE,1045-9243,1558-4143,3.6,Q2,Q2
IEEE Antennas and Wireless Propagation Letters,1536-1225,1548-5757,4.6,Q2,Q2
IEEE-ASME TRANSACTIONS ON MECHATRONICS,1083-4435,1941-014X,6.3,Q1,Q1
IEEE-CAA Journal of Automatica Sinica,2329-9266,2329-9274,18.3,Q1,Q1
IEEE Canadian Journal of Electrical and Computer Engineering,,2694-1783,1.6,Q4,Q4
IEEE Circuits and Systems Magazine,1531-636X,1558-0830,5.6,Q1,Q1
IEEE COMMUNICATIONS LETTERS,1089-7798,1558-2558,4.5,Q2,Q2
IEEE COMMUNICATIONS MAGAZINE,0163-6804,1558-1896,8.3,Q1,Q1
IEEE Communications Standards Magazine,2471-2825,2471-2833,5.1,Q1,Q1|Q2
IEEE Communications Surveys and Tutorials,,1553-877X,50.6,Q1,Q1
IEEE Computational Intelligence Magazine,1556-603X,1556-6048,7.7,Q1,Q1
IEEE Computer Architecture Letters,1556-6056,1556-6064,2.0,Q3,Q3
IEEE COMPUTER GRAPHICS AND APPLICATIONS,0272-1716,1558-1756,2.1,Q3,Q3
IEEE Consumer Electronics Magazine,2162-2248,2162-2256,5.0,Q2,Q2
IEEE Control Systems Letters,,2475-1456,1.9,Q3,Q3
IEEE CONTROL SYSTEMS MAGAZINE,1066-033X,1941-000X,6.9,Q1,Q1
IEEE Design & Test,2168-2356,2168-2364,2.0,Q3,Q3
IEEE ELECTRICAL INSULATION MAGAZINE,0883-7554,1558-4402,2.0,Q3,Q3
IEEE Electrification Magazine,2325-5897,2325-5889,2.9,Q2,Q2
IEEE ELECTRON DEVICE LETTERS,0741-3106,1558-0563,4.6,Q2,Q2
IEEE Embedded Systems Letters,1943-0663,1943-0671,1.7,Q3,Q3|Q4
IEEE Engineering Management Review,0360-8581,1937-4178,4.4,Q2,Q2
IEEE Geoscience and Remote Sensing Letters,1545-598X,1558-0571,4.8,Q1,Q1|Q2
IEEE Geoscience and Remote Sensing Magazine,2473-2397,2168-6831,13.7,Q1,Q1
IEEE Industrial Electronics Magazine,1932-4529,1941-0115,3.3,Q2,Q2
IEEE INDUSTRY APPLICATIONS MAGAZINE,1077-2618,1558-0598,0.9,Q4,Q4
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,1094-6969,1941-0123,1.7,Q3,Q3
IEEE INTELLIGENT SYSTEMS,1541-1672,1941-1294,4.5,Q2,Q2
IEEE Intelligent Transportation Systems Magazine,1939-1390,1941-1197,5.5,Q1,Q1
IEEE INTERNET COMPUTING,1089-7801,1941-0131,3.3,Q2,Q2
IEEE Internet of Things Journal,2327-4662,2327-4662,8.7,Q1,Q1
IEEE Internet of Things Magazine,2576-3180,2576-3199,5.8,Q1,Q1
IEEE Journal of Biomedical and Health Informatics,2168-2194,2168-2208,7.7,Q1,Q1
IEEE Journal of Electromagnetics RF and Microwaves in Medicine and Biology,2469-7249,2469-7257,2.4,Q3,Q3
IEEE Journal of Emerging and Selected Topics in Industrial Electronics,2687-9735,2687-9743,4.9,Q2,Q2
IEEE Journal of Emerging and Selected Topics in Power Electronics,2168-6777,2168-6785,5.7,Q1,Q1
IEEE Journal of Indoor and Seamless Positioning and Navigation,,2832-7322,2.9,Q3,Q3
IEEE Journal of Microwaves,,2692-8388,4.5,Q2,Q2
IEEE JOURNAL OF OCEANIC ENGINEERING,0364-9059,1558-1691,5.6,Q1,Q1
IEEE Journal of Photovoltaics,2156-3381,2156-3403,3.7,Q2,Q2|Q3
IEEE JOURNAL OF QUANTUM ELECTRONICS,0018-9197,1558-1713,1.9,Q3,Q3
IEEE Journal of Radio Frequency Identification,,2469-7281,3.7,Q2,Q2
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,2151-1535,6.3,Q1,Q1|Q2
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,1077-260X,1558-4542,4.5,Q1,Q1|Q2
IEEE Journal of Selected Topics in Signal Processing,1932-4553,1941-0484,8.5,Q1,Q1
IEEE JOURNAL OF SOLID-STATE CIRCUITS,0018-9200,1558-173X,5.6,Q1,Q1
IEEE Journal of the Electron Devices Society,2168-6734,2168-6734,2.9,Q2,Q2
IEEE Journal of Translational Engineering in Health and Medicine,2168-2372,2168-2372,3.9,Q2,Q2
